game_pk,date,season,home,away,home_score,away_score,label,home_gp,away_gp,elo_baseline,elo_diff,elo_prob,home_wpct,away_wpct,wpct_diff,home_rs_pg,home_ra_pg,away_rs_pg,away_ra_pg,home_rundiff_pg,away_rundiff_pg,home_form10,away_form10,home_rs10,home_ra10,away_rs10,away_ra10,home_pyth,away_pyth,home_rest,away_rest,home_sp_ra,away_sp_ra,home_sp_exp,away_sp_exp,home_as_home_wpct,away_as_away_wpct,home_as_home_rd,away_as_away_rd
529406,2018-03-29,2018,"Tampa Bay Rays","Boston Red Sox",6,4,1,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529407,2018-03-29,2018,"Miami Marlins","Chicago Cubs",4,8,0,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529408,2018-03-29,2018,"Kansas City Royals","Chicago White Sox",7,14,0,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529409,2018-03-29,2018,"Seattle Mariners","Cleveland Indians",2,1,1,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529410,2018-03-29,2018,"Arizona Diamondbacks","Colorado Rockies",8,2,1,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529411,2018-03-29,2018,"Texas Rangers","Houston Astros",1,4,0,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529412,2018-03-29,2018,"Oakland Athletics","Los Angeles Angels",6,5,1,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529413,2018-03-29,2018,"San Diego Padres","Milwaukee Brewers",1,2,0,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529414,2018-03-29,2018,"Baltimore Orioles","Minnesota Twins",3,2,1,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
529415,2018-03-29,2018,"Toronto Blue Jays","New York Yankees",1,6,0,0,0,0.534484,0.060000,0.534484,0.500000,0.500000,0.000000,4.400000,4.400000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,4.400000,4.400000,4.400000,4.400000,0.500000,0.500000,3.000000,3.000000,4.400000,4.400000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
